title,note,url,tags,comment,source_list,status,google_place_id,google_name,google_maps_uri,formatted_address,neighborhood,city,state,country,country_code,postal_code,latitude,longitude,primary_type,google_types,business_status,google_rating,review_count,price_level,match_status,category,food_style,food_style_source,food_style_confidence,food_style_evidence
Bagels Lepu,Bagels buenos y grandes,https://www.google.com/maps/place/Bagels+Lepu/data=!4m2!3m1!1s0x85d1ff0065cb765f:0xf8a886f115699fec,,,CDMX,visited,ChIJX3bLZQD_0YUR7J9pFfGGqPg,Bagels Lepu,https://maps.google.com/?cid=17917719487498002412&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Coahuila 44, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",Roma Norte,Ciudad de México,Ciudad de México,Mexico,MX,06700,19.4122574,-99.1572047,restaurant,"restaurant, bagel_shop, breakfast_restaurant, cafe, bakery, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.7,1039.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL,Restaurant,,AI_ERROR,,
Salón Tropical Cartagena,,https://www.google.com/maps/place/Sal%C3%B3n+Tropical+Cartagena/data=!4m2!3m1!1s0x8ef62f480a027d9b:0xdada42e154f9a8ce,,,Wanna go,wanna_go,ChIJm30CCkgv9o4Rzqj5VOFC2to,Salón Tropical Cartagena,https://maps.google.com/?cid=15769990580751935694&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Cra 10c, Cl. de la Lomba #28-36, Getsemaní, Cartagena de Indias, Bolívar, Colombia",Getsemaní,Cartagena de Indias,Bolívar,Colombia,CO,130000,10.4200965,-75.5444193,restaurant,"restaurant, food, point_of_interest, establishment",OPERATIONAL,4.8,1410.0,,RESOLVED_FROM_URL,Restaurant,,AI_ERROR,,
Boogie's Pizza,Gran spot para comer rapido y echar una chela porque no hay mucho donde sentarte. La pizza de burrata espectacular. Me quedé con antojo de la de ricotta.,https://www.google.com/maps/place/Boogie's+Pizza/data=!4m2!3m1!1s0x85d1ff2f278baafb:0xf7484f59030a5e3b,,,CDMX,visited,ChIJ-6qLJy__0YURO14KA1lPSPc,Boogie's Pizza,https://maps.google.com/?cid=17818579169413062203&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Av. Nuevo León 125-Loc b, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06100,19.4097541,-99.1729259,restaurant,"restaurant, point_of_interest, food, establishment",OPERATIONAL,4.4,235.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL,Restaurant,,AI_ERROR,,
Félix Parque,,https://www.google.com/maps/place/F%C3%A9lix+Parque/data=!4m2!3m1!1s0x85d1ff0016f49711:0x7694266ba31b39e1,,,CDMX,visited,ChIJEZf0FgD_0YUR4Tkbo2smlHY,Félix Parque,https://maps.google.com/?cid=8544496636768500193&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Av México 99, Colonia Condesa, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",Colonia Condesa,Ciudad de México,Ciudad de México,Mexico,MX,06100,19.4102843,-99.1708008,restaurant,"restaurant, food, point_of_interest, establishment",OPERATIONAL,4.6,1965.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL,Restaurant,,AI_ERROR,,
GIA,,https://www.google.com/maps/place/GIA/data=!4m2!3m1!1s0x85d1ff6a02f13025:0x8efd2b9f750d53a3,,,CDMX,visited,ChIJJTDxAmr_0YURo1MNdZ8r_Y4,GIA,https://maps.google.com/?cid=10303439486357164963&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Aguascalientes 237, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06100,19.4072531,-99.1731775,restaurant,"restaurant, food, point_of_interest, establishment",OPERATIONAL,4.1,314.0,PRICE_LEVEL_EXPENSIVE,RESOLVED_FROM_URL,Restaurant,,AI_ERROR,,
Tetetlán,,https://www.google.com/maps/place/Tetetl%C3%A1n/data=!4m2!3m1!1s0x85cdfff13e2a69a7:0x2c5bca334690c7cd,,,CDMX,visited,ChIJp2kqPvH_zYURzceQRjPKWyw,Tetetlán,https://maps.google.com/?cid=3196370682125535181&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Av. de Las Fuentes 180 - B, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX, Mexico",Jardines del Pedregal,Ciudad de México,Ciudad de México,Mexico,MX,01900,19.3286011,-99.2047964,restaurant,"restaurant, point_of_interest, food, establishment",OPERATIONAL,4.5,3955.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL,Restaurant,,AI_ERROR,,
Chalino Chino,De sonora mezcla con chino! Buenisismo como de mariscos y asi tipo el fishers,https://www.google.com/maps/place/Chalino+Chino/data=!4m2!3m1!1s0x85d1ff46959eee01:0xf512e3d48eb15566,,,CDMX,visited,ChIJAe6elUb_0YURZlWxjtTjEvU,Chalino Chino (SM Chapultepec),https://maps.google.com/?cid=17659427590939694438&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Juan de la Barrera 143, San Miguel Chapultepec I Sección, Miguel Hidalgo, 11850 Ciudad de México, CDMX, Mexico",San Miguel Chapultepec I Sección,Ciudad de México,Ciudad de México,Mexico,MX,11850,19.4187256,-99.1793398,restaurant,"restaurant, food, point_of_interest, establishment",OPERATIONAL,4.5,313.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL,Restaurant,,AI_ERROR,,
Mendl Delicatessen,,https://www.google.com/maps/place/Mendl+Delicatessen/data=!4m2!3m1!1s0x85d1fff467584079:0x5f5782a1e1db88a1,,,CDMX,visited,ChIJeUBYZ_T_0YURoYjb4aGCV18,Mendl Delicatessen,https://maps.google.com/?cid=6870103388367587489&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Citlaltépetl 9, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06100,19.4101464,-99.1713147,brunch_restaurant,"brunch_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.2,1793.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL,Restaurant,,AI_ERROR,,
Lagerbar Hércules,Pub mexicano,https://www.google.com/maps/place/Lagerbar+H%C3%A9rcules/data=!4m2!3m1!1s0x85d1ff2aaf89182d:0x14240ca0eb2203a1,,,CDMX,visited,ChIJLRiJryr_0YURoQMi66AMJBQ,Lagerbar Hércules,https://maps.google.com/?cid=1451298865199317921&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Campeche 322, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06100,19.408565900000003,-99.1727529,restaurant,"restaurant, bar, food, point_of_interest, establishment",OPERATIONAL,4.5,915.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL,Restaurant,,AI_ERROR,,
ANOTHeR,,https://www.google.com/maps/place/ANOTHeR/data=!4m2!3m1!1s0x85d1ff0010a095fb:0x874144f1becf6e9c,,,CDMX,visited,ChIJ-5WgEAD_0YURnG7PvvFEQYc,ANOTHeR,https://maps.google.com/?cid=9746146873685536412&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Alfonso Reyes 193, Hipódromo, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06140,19.4074479,-99.1746433,restaurant,"restaurant, wine_bar, coffee_shop, coffee_roastery, cafe, bar, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.5,1040.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL,Restaurant,,AI_ERROR,,
