title,note,url,tags,comment,source_list,status
The Lamb,,https://www.google.com/maps/place/The+Lamb/data=!4m2!3m1!1s0x85d1ff3a610c0001:0x8bcbfa604970f4aa,,,CDMX,visited
La Once Mil - Roma Norte,,https://www.google.com/maps/place/La+Once+Mil+-+Roma+Norte/data=!4m2!3m1!1s0x85d1ff005adfb7d3:0xd652330b4035e930,,,CDMX,visited
Panadería Rosetta,,https://www.google.com/maps/place/Panader%C3%ADa+Rosetta/data=!4m2!3m1!1s0x85d1ff3a738df1fb:0xc83c192f6107982c,,,CDMX,visited
Bagels Lepu,Bagels buenos y grandes,https://www.google.com/maps/place/Bagels+Lepu/data=!4m2!3m1!1s0x85d1ff0065cb765f:0xf8a886f115699fec,,,CDMX,visited
La Americana,,https://www.google.com/maps/place/La+Americana/data=!4m2!3m1!1s0x85d1ff003bc753e3:0x76b532c620328387,,,CDMX,visited
Boogie's Pizza,Gran spot para comer rapido y echar una chela porque no hay mucho donde sentarte. La pizza de burrata espectacular. Me quedé con antojo de la de ricotta.,https://www.google.com/maps/place/Boogie's+Pizza/data=!4m2!3m1!1s0x85d1ff2f278baafb:0xf7484f59030a5e3b,,,CDMX,visited
Lardo,Muy agusto lugar. La hamburguesa buenísima y la lasagna de conejo tambien.,https://www.google.com/maps/place/Lardo/data=!4m2!3m1!1s0x85d1ff45bd47fe73:0x4528d0b3c4abd2b8,,,CDMX,visited
Félix Parque,,https://www.google.com/maps/place/F%C3%A9lix+Parque/data=!4m2!3m1!1s0x85d1ff0016f49711:0x7694266ba31b39e1,,,CDMX,visited
GIA,,https://www.google.com/maps/place/GIA/data=!4m2!3m1!1s0x85d1ff6a02f13025:0x8efd2b9f750d53a3,,,CDMX,visited
Tetetlán,,https://www.google.com/maps/place/Tetetl%C3%A1n/data=!4m2!3m1!1s0x85cdfff13e2a69a7:0x2c5bca334690c7cd,,,CDMX,visited
Museo de Arte Moderno,,https://www.google.com/maps/place/Museo+de+Arte+Moderno/data=!4m2!3m1!1s0x85d1f92b75aa014d:0x75a3b54be4cda224,,,CDMX,visited
Museo Tamayo Arte Contemporáneo,,https://www.google.com/maps/place/Museo+Tamayo+Arte+Contempor%C3%A1neo/data=!4m2!3m1!1s0x85d1ff53d2614b4b:0x2cd41906d3e91652,,,CDMX,visited
Chalino Chino,De sonora mezcla con chino! Buenisismo como de mariscos y asi tipo el fishers,https://www.google.com/maps/place/Chalino+Chino/data=!4m2!3m1!1s0x85d1ff46959eee01:0xf512e3d48eb15566,,,CDMX,visited
Pisca,,https://www.google.com/maps/place/Pisca/data=!4m2!3m1!1s0x85d1ffc6c0614d69:0xf4037d9a57662c8f,,,CDMX,visited
Mendl Delicatessen,,https://www.google.com/maps/place/Mendl+Delicatessen/data=!4m2!3m1!1s0x85d1fff467584079:0x5f5782a1e1db88a1,,,CDMX,visited
MARU CAFÉ ( 마루 ),,https://www.google.com/maps/place/MARU+CAF%C3%89+(+%EB%A7%88%EB%A3%A8+)/data=!4m2!3m1!1s0x85d1ffb9fb008987:0x6eb46cb01f10a621,,,CDMX,visited
Saint,,https://www.google.com/maps/place/Saint/data=!4m2!3m1!1s0x85d1ffcd3784285d:0xe7ab200d54e4fe35,,,CDMX,visited
