title,note,url,tags,comment,source_list,status,google_place_id,google_name,google_maps_uri,formatted_address,neighborhood,city,state,country,country_code,postal_code,latitude,longitude,primary_type,google_types,business_status,google_rating,review_count,price_level,match_status
The Lamb,,https://www.google.com/maps/place/The+Lamb/data=!4m2!3m1!1s0x85d1ff3a610c0001:0x8bcbfa604970f4aa,,,CDMX,visited,ChIJAQAMYTr_0YURqvRwSWD6y4s,The Lamb,https://maps.google.com/?cid=10073420283000190122&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Tabasco 156, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",Roma Norte,Ciudad de México,Ciudad de México,Mexico,MX,06700,19.4190804,-99.1596479,british_restaurant,"british_restaurant, restaurant, food, point_of_interest, establishment",CLOSED_TEMPORARILY,4.5,240.0,,RESOLVED_FROM_URL
La Once Mil - Roma Norte,,https://www.google.com/maps/place/La+Once+Mil+-+Roma+Norte/data=!4m2!3m1!1s0x85d1ff005adfb7d3:0xd652330b4035e930,,,CDMX,visited,ChIJ07ffWgD_0YURMOk1QAszUtY,La Once Mil - Roma Norte,https://maps.google.com/?cid=15443462195621783856&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"C. Orizaba 83, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",Roma Norte,Ciudad de México,Ciudad de México,Mexico,MX,06700,19.4199507,-99.160306,mexican_restaurant,"mexican_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.8,4532.0,PRICE_LEVEL_EXPENSIVE,RESOLVED_FROM_URL
Panadería Rosetta,,https://www.google.com/maps/place/Panader%C3%ADa+Rosetta/data=!4m2!3m1!1s0x85d1ff3a738df1fb:0xc83c192f6107982c,,,CDMX,visited,ChIJ-_GNczr_0YURLJgHYS8ZPMg,Panadería Rosetta,https://maps.google.com/?cid=14428434997470271532&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"C.Colima 179, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",Roma Norte,Ciudad de México,Ciudad de México,Mexico,MX,06700,19.4198883,-99.1605402,bakery,"bakery, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.5,10656.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Bagels Lepu,Bagels buenos y grandes,https://www.google.com/maps/place/Bagels+Lepu/data=!4m2!3m1!1s0x85d1ff0065cb765f:0xf8a886f115699fec,,,CDMX,visited,ChIJX3bLZQD_0YUR7J9pFfGGqPg,Bagels Lepu,https://maps.google.com/?cid=17917719487498002412&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Coahuila 44, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",Roma Norte,Ciudad de México,Ciudad de México,Mexico,MX,06700,19.4122574,-99.1572047,restaurant,"restaurant, bagel_shop, breakfast_restaurant, cafe, bakery, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.7,1039.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
La Americana,,https://www.google.com/maps/place/La+Americana/data=!4m2!3m1!1s0x85d1ff003bc753e3:0x76b532c620328387,,,CDMX,visited,ChIJ41PHOwD_0YURh4MyIMYytXY,La Americana,https://maps.google.com/?cid=8553798893785219975&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Iztaccihuatl 36A, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06100,19.409611,-99.1690811,book_store,"book_store, store, point_of_interest, establishment",OPERATIONAL,4.1,267.0,,RESOLVED_FROM_URL
Daquise,,https://www.google.com/maps/place/Daquise/data=!4m2!3m1!1s0x4876054287efb657:0x3fe1394e30aee8cd,,,London,visited,ChIJV7bvh0IFdkgRzeiuME454T8,Daquise,https://maps.google.com/?cid=4603023302136359117&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"20 Thurloe St, South Kensington, London SW7 2LT, UK",South Kensington,Greater London,England,United Kingdom,GB,SW7 2LT,51.4944341,-0.1734118999999999,polish_restaurant,"polish_restaurant, fine_dining_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.5,1541.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Slayer Pizzeria,,https://www.google.com/maps/place/Slayer+Pizzeria/data=!4m2!3m1!1s0x48760f89c4c83589:0x3c143ae68b4237f2,,,London,visited,ChIJiTXIxIkPdkgR8jdCi-Y6FDw,Slayer Pizzeria,https://maps.google.com/?cid=4329149903663151090&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"226 Westbourne Grove, London W11 2RH, UK",,Greater London,England,United Kingdom,GB,W11 2RH,51.5144293,-0.2011858,pizza_restaurant,"pizza_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.6,874.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Bancone Kensington,,https://www.google.com/maps/place/Bancone+Kensington/data=!4m2!3m1!1s0x48760f8c39a8ffe9:0x9b6e7b3b6425fcd7,,,London,visited,ChIJ6f-oOYwPdkgR1_wlZDt7bps,Bancone Kensington,https://maps.google.com/?cid=11200024818330500311&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Units 1 and 2, 127a Kensington High St, London W8 5SF, UK",,Greater London,England,United Kingdom,GB,W8 5SF,51.5006504,-0.1930519,italian_restaurant,"italian_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.5,433.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Boxcar Hyde Park,,https://www.google.com/maps/place/Boxcar+Hyde+Park/data=!4m2!3m1!1s0x4876050078b577db:0x9375de91c9a944ea,,,London,visited,ChIJ23e1eAAFdkgR6kSpyZHedZM,Boxcar Hyde Park,https://maps.google.com/?cid=10625643613585491178&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"30-31 Kendal St, St George's Fields, London W2 2AW, UK",St George's Fields,Greater London,England,United Kingdom,GB,W2 2AW,51.5144731,-0.1668328,bakery,"bakery, coffee_shop, wine_bar, breakfast_restaurant, cocktail_bar, cafe, brunch_restaurant, pastry_shop, dessert_shop, confectionery, bar, food_store, store, restaurant, point_of_interest, food, establishment",OPERATIONAL,4.5,439.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Zeit für Brot (The German Bakery),,https://www.google.com/maps/place/Zeit+f%C3%BCr+Brot+(The+German+Bakery)/data=!4m2!3m1!1s0x48761bfe170e7797:0x318186cf63bd8c16,,,London,visited,ChIJl3cOF_4bdkgRFoy9Y8-GgTE,Zeit für Brot (The German Bakery),https://maps.google.com/?cid=3567280605143862294&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"1 Islington High St, London N1 9LQ, UK",,Greater London,England,United Kingdom,GB,N1 9LQ,51.5320665,-0.1065183,bakery,"bakery, grocery_store, german_restaurant, european_restaurant, food_store, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.4,506.0,PRICE_LEVEL_INEXPENSIVE,RESOLVED_FROM_URL
