Title,Note,URL,Tags,Comment
,,,,
The Lamb,,https://www.google.com/maps/place/The+Lamb/data=!4m2!3m1!1s0x85d1ff3a610c0001:0x8bcbfa604970f4aa,,
La Once Mil - Roma Norte,,https://www.google.com/maps/place/La+Once+Mil+-+Roma+Norte/data=!4m2!3m1!1s0x85d1ff005adfb7d3:0xd652330b4035e930,,
Panadería Rosetta,,https://www.google.com/maps/place/Panader%C3%ADa+Rosetta/data=!4m2!3m1!1s0x85d1ff3a738df1fb:0xc83c192f6107982c,,
Bagels Lepu,Bagels buenos y grandes,https://www.google.com/maps/place/Bagels+Lepu/data=!4m2!3m1!1s0x85d1ff0065cb765f:0xf8a886f115699fec,,
La Americana,,https://www.google.com/maps/place/La+Americana/data=!4m2!3m1!1s0x85d1ff003bc753e3:0x76b532c620328387,,
Boogie's Pizza,Gran spot para comer rapido y echar una chela porque no hay mucho donde sentarte. La pizza de burrata espectacular. Me quedé con antojo de la de ricotta.,https://www.google.com/maps/place/Boogie's+Pizza/data=!4m2!3m1!1s0x85d1ff2f278baafb:0xf7484f59030a5e3b,,
Lardo,Muy agusto lugar. La hamburguesa buenísima y la lasagna de conejo tambien.,https://www.google.com/maps/place/Lardo/data=!4m2!3m1!1s0x85d1ff45bd47fe73:0x4528d0b3c4abd2b8,,
Félix Parque,,https://www.google.com/maps/place/F%C3%A9lix+Parque/data=!4m2!3m1!1s0x85d1ff0016f49711:0x7694266ba31b39e1,,
GIA,,https://www.google.com/maps/place/GIA/data=!4m2!3m1!1s0x85d1ff6a02f13025:0x8efd2b9f750d53a3,,
Tetetlán,,https://www.google.com/maps/place/Tetetl%C3%A1n/data=!4m2!3m1!1s0x85cdfff13e2a69a7:0x2c5bca334690c7cd,,
Museo de Arte Moderno,,https://www.google.com/maps/place/Museo+de+Arte+Moderno/data=!4m2!3m1!1s0x85d1f92b75aa014d:0x75a3b54be4cda224,,
Museo Tamayo Arte Contemporáneo,,https://www.google.com/maps/place/Museo+Tamayo+Arte+Contempor%C3%A1neo/data=!4m2!3m1!1s0x85d1ff53d2614b4b:0x2cd41906d3e91652,,
Chalino Chino,De sonora mezcla con chino! Buenisismo como de mariscos y asi tipo el fishers,https://www.google.com/maps/place/Chalino+Chino/data=!4m2!3m1!1s0x85d1ff46959eee01:0xf512e3d48eb15566,,
Pisca,,https://www.google.com/maps/place/Pisca/data=!4m2!3m1!1s0x85d1ffc6c0614d69:0xf4037d9a57662c8f,,
Mendl Delicatessen,,https://www.google.com/maps/place/Mendl+Delicatessen/data=!4m2!3m1!1s0x85d1fff467584079:0x5f5782a1e1db88a1,,
MARU CAFÉ ( 마루 ),,https://www.google.com/maps/place/MARU+CAF%C3%89+(+%EB%A7%88%EB%A3%A8+)/data=!4m2!3m1!1s0x85d1ffb9fb008987:0x6eb46cb01f10a621,,
Saint,,https://www.google.com/maps/place/Saint/data=!4m2!3m1!1s0x85d1ffcd3784285d:0xe7ab200d54e4fe35,,
Helados Meñique,,https://www.google.com/maps/place/Helados+Me%C3%B1ique/data=!4m2!3m1!1s0x85d1ff403c9b6687:0x1dad179c083f56a5,,
El Minutito,,https://www.google.com/maps/place/El+Minutito/data=!4m2!3m1!1s0x85d1ff0043621877:0x8f6a5afdf1420789,,
Lagerbar Hércules,Pub mexicano,https://www.google.com/maps/place/Lagerbar+H%C3%A9rcules/data=!4m2!3m1!1s0x85d1ff2aaf89182d:0x14240ca0eb2203a1,,
Nils ı Café de especialidad y Gente Increíble,Buen lugar para cafe y compu,https://www.google.com/maps/place/Nils+%C4%B1+Caf%C3%A9+de+especialidad+y+Gente+Incre%C3%ADble/data=!4m2!3m1!1s0x85d1ff3097bcdd63:0x9fe15247da2899b3,,
ANOTHeR,,https://www.google.com/maps/place/ANOTHeR/data=!4m2!3m1!1s0x85d1ff0010a095fb:0x874144f1becf6e9c,,
Cucurucho Condesa,,https://www.google.com/maps/place/Cucurucho+Condesa/data=!4m2!3m1!1s0x85d1ff1678d3b9a5:0x2a2c396d71052da1,,
Shoma Hand Roll Bar,,https://www.google.com/maps/place/Shoma+Hand+Roll+Bar/data=!4m2!3m1!1s0x85d1ffcffac7bf81:0xd94aa7771b68c1db,,
Qūentin Café,,https://www.google.com/maps/place/Q%C5%ABentin+Caf%C3%A9/data=!4m2!3m1!1s0x85d1ff881f301079:0xa29b2ea96d56a4f7,,
Chabela Bocaderia & Ultramarinos,"Gran lugar de tapas, vermut y asi! ",https://www.google.com/maps/place/Chabela+Bocaderia+%26+Ultramarinos/data=!4m2!3m1!1s0x85d1ff00506da84f:0x5d5778254a9f0bf,,
