Title,Note,URL,Tags,Comment
,,,,
Daquise,,https://www.google.com/maps/place/Daquise/data=!4m2!3m1!1s0x4876054287efb657:0x3fe1394e30aee8cd,,
Slayer Pizzeria,,https://www.google.com/maps/place/Slayer+Pizzeria/data=!4m2!3m1!1s0x48760f89c4c83589:0x3c143ae68b4237f2,,
Bancone Kensington,,https://www.google.com/maps/place/Bancone+Kensington/data=!4m2!3m1!1s0x48760f8c39a8ffe9:0x9b6e7b3b6425fcd7,,
Boxcar Hyde Park,,https://www.google.com/maps/place/Boxcar+Hyde+Park/data=!4m2!3m1!1s0x4876050078b577db:0x9375de91c9a944ea,,
Zeit für Brot (The German Bakery),,https://www.google.com/maps/place/Zeit+f%C3%BCr+Brot+(The+German+Bakery)/data=!4m2!3m1!1s0x48761bfe170e7797:0x318186cf63bd8c16,,
Space Talk,,https://www.google.com/maps/place/Space+Talk/data=!4m2!3m1!1s0x48761baee3dde51b:0xea4369e0477a649,,
St Dunstan in the East Church Garden,,https://www.google.com/maps/place/St+Dunstan+in+the+East+Church+Garden/data=!4m2!3m1!1s0x48760351ff31196f:0xbd3d6d2fb43ff52d,,
Sky Garden,,https://www.google.com/maps/place/Sky+Garden/data=!4m2!3m1!1s0x487603526c3ca281:0xd5156ccc2c6a9284,,
BAO City,Bowl de carne con arroz!!,https://www.google.com/maps/place/BAO+City/data=!4m2!3m1!1s0x487603158bfb60f3:0x5115ec091e674819,,
The Mall Tavern,,https://www.google.com/maps/place/The+Mall+Tavern/data=!4m2!3m1!1s0x48760ff958a389e5:0xe0cd754160141ff0,,
The Camberwell Arms,"Gran pub en camberwell. Muy bueno para date con muy buena comida y muy buen ambiente. Sirven aperitivos, vinos diferentes y esta separada la parte de restaurante y pub. Gran lugar!",https://www.google.com/maps/place/The+Camberwell+Arms/data=!4m2!3m1!1s0x4876037f4e67aca1:0xe0e6552a2be04399,,
Grove House Tavern,Pub local en camberwell y sirven los sandwiches de cafe mondo. Muy cool para estar adentro o afuera para todo tipo de plan! ,https://www.google.com/maps/place/Grove+House+Tavern/data=!4m2!3m1!1s0x48760381f7b6ee6d:0x4e3a74cd2941f40f,,
Los Mochis Notting Hill,,https://www.google.com/maps/place/Los+Mochis+Notting+Hill/data=!4m2!3m1!1s0x48760f5b2b3c6ff7:0xe74911fd4ec778c3,,
Rooftop Cinema Club Peckham,,https://www.google.com/maps/place/Rooftop+Cinema+Club+Peckham/data=!4m2!3m1!1s0x487603a1a9981c29:0xfd3d218d62a85f9c,,
The Ox,,https://www.google.com/maps/place/The+Ox/data=!4m2!3m1!1s0x487605c51a2b4b47:0x55f42d21b0297418,,
Cafe Linea,,https://www.google.com/maps/place/Cafe+Linea/data=!4m2!3m1!1s0x4876057bf025c365:0x48df07ea798b8fd9,,
Devonshire Arms Kensington,,https://www.google.com/maps/place/Devonshire+Arms+Kensington/data=!4m2!3m1!1s0x48760ff4614c42bb:0xfd7b1b6e6d8c4d95,,
Wonton Charlie's,,https://www.google.com/maps/place/Wonton+Charlie's/data=!4m2!3m1!1s0x48761d32ff23b1ab:0x613f2aff5e885739,,
Hagen Espresso Bar (Hagen Belgravia),,https://www.google.com/maps/place/Hagen+Espresso+Bar+(Hagen+Belgravia)/data=!4m2!3m1!1s0x487605314f1e5e1b:0x82a48a138ac51e97,,
Hagen Espresso Bar (Hagen Belgravia),,https://www.google.com/maps/place/Hagen+Espresso+Bar+(Hagen+Belgravia)/data=!4m2!3m1!1s0x487605314f1e5e1b:0x82a48a138ac51e97,,
Cafe Kowloon,,https://www.google.com/maps/place/Cafe+Kowloon/data=!4m2!3m1!1s0x48761ddb88949213:0xac803f23d8f8cd3f,,
Jolene Redchurch Street,,https://www.google.com/maps/place/Jolene+Redchurch+Street/data=!4m2!3m1!1s0x48761d5419f8081b:0x7fc417d07ef391c0,,
The Knave of Clubs,Muy buen pub,https://www.google.com/maps/place/The+Knave+of+Clubs/data=!4m2!3m1!1s0x48761cb71267af4d:0xa10a333a3ad70129,,
"Popin - Coffee, Deli & Groceries",Tiendita linda,"https://www.google.com/maps/place/Popin+-+Coffee,+Deli+%26+Groceries/data=!4m2!3m1!1s0x487605738469506d:0x5871f568abbef448",,
Where's Fred's,,https://www.google.com/maps/place/Where's+Fred's/data=!4m2!3m1!1s0x487603d2e9efb5c5:0xf7c2e569bee5336a,,
Hanbaagaasuuteeki,,https://www.google.com/maps/place/Hanbaagaasuuteeki/data=!4m2!3m1!1s0x487605003bfeea69:0x5f37f7246fd725a8,,
WatchHouse Hanover,,https://www.google.com/maps/place/WatchHouse+Hanover/data=!4m2!3m1!1s0x4876055ecc798819:0x57110cdfb3505d6c,,
Marjorie's,,https://www.google.com/maps/place/Marjorie's/data=!4m2!3m1!1s0x4876059b6037e591:0x14c911aa3dd64969,,
