Title,Note,URL,Tags,Comment
,,,,
Payna,,https://www.google.com/maps/place/Payna/data=!4m2!3m1!1s0x85d1ff37d04d962d:0x23eacb5b039a2e3f,,
Salón Tropical Cartagena,,https://www.google.com/maps/place/Sal%C3%B3n+Tropical+Cartagena/data=!4m2!3m1!1s0x8ef62f480a027d9b:0xdada42e154f9a8ce,,
Ro upstairs,,https://www.google.com/maps/place/Ro+upstairs/data=!4m2!3m1!1s0x85d203000a2067b7:0xf0f9961f3624e05f,,
BRNO,,https://www.google.com/maps/place/BRNO/data=!4m2!3m1!1s0x85d1ff00698c6243:0x49a687d9808b5990,,
Votion Roma Norte,,https://www.google.com/maps/place/Votion+Roma+Norte/data=!4m2!3m1!1s0x85d1ff965aeb7375:0xd6792f3559222448,,
Baby Bar,,https://www.google.com/maps/place/Baby+Bar/data=!4m2!3m1!1s0x85d1ff899ac0312d:0x49890086eddc06a9,,
Rallado Quesería,,https://www.google.com/maps/place/Rallado+Queser%C3%ADa/data=!4m2!3m1!1s0x85d1ff12e9abe659:0x79f1a5c685fcb2ef,,
Lalo!,,https://www.google.com/maps/place/Lalo!/data=!4m2!3m1!1s0x85d1ff395f34802d:0x1c6328f5be71ded7,,
Ticuchi,,https://www.google.com/maps/place/Ticuchi/data=!4m2!3m1!1s0x85d1f8ab75cf106d:0xcb7b042857cecaa,,
Bar Mauro,,https://www.google.com/maps/place/Bar+Mauro/data=!4m2!3m1!1s0x85d1ffdbbe56d071:0x45466e37cb489b4e,,
Difane,,https://www.google.com/maps/place/Difane/data=!4m2!3m1!1s0x85d2012fd6bf3d65:0xd892d431e7783d93,,
Malcriado ( Condesa ),,https://www.google.com/maps/place/Malcriado+(+Condesa+)/data=!4m2!3m1!1s0x85d1ff2388c3b9df:0xa101bb145cf07a25,,
Alboroto,,https://www.google.com/maps/place/Alboroto/data=!4m2!3m1!1s0x85d1ff006b54ca05:0xff7c9993c6aae7a9,,
HART bagels & specialty coffee,,https://www.google.com/maps/place/HART+bagels+%26+specialty+coffee/data=!4m2!3m1!1s0x85d1ff7c98c95e73:0xb490a4cfee1e4581,,
